"Name","Path","Scope","Members"
"Administration AD Delegates","OU=Administration,OU=Groups,DC=contoso,DC=com",1,""
"Administration Servers Local Administrators","OU=Administration,OU=Groups,DC=contoso,DC=com",1,""
"Administration Share Modify","OU=Administration,OU=Groups,DC=contoso,DC=com",1,""
"Administration Share Read","OU=Administration,OU=Groups,DC=contoso,DC=com",1,""
"Administration Workstations Local Administrators","OU=Administration,OU=Groups,DC=contoso,DC=com",1,""
"Administration GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Administration Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Administration People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Administration Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Administration Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Administration Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Administration AD Delegates"
"Development AD Delegates","OU=Development,OU=Groups,DC=contoso,DC=com",1,""
"Development Servers Local Administrators","OU=Development,OU=Groups,DC=contoso,DC=com",1,""
"Development Share Modify","OU=Development,OU=Groups,DC=contoso,DC=com",1,""
"Development Share Read","OU=Development,OU=Groups,DC=contoso,DC=com",1,""
"Development Workstations Local Administrators","OU=Development,OU=Groups,DC=contoso,DC=com",1,""
"Development GPO Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Development Groups Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Development People Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Development Servers Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Development Service Accounts Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Development Workstations Delegates","OU=Domain Groups,DC=contoso,DC=com",1,"Development AD Delegates"
"Finance AD Delegates","OU=Finance,OU=Groups,DC=contoso,DC=com",1,""
"Finance Servers Local Administrators","OU=Finance,OU=Groups,DC=contoso,DC=com",1,""
"Finance Share Modify","OU=Finance,OU=Groups,DC=contoso,DC=com",1,""
"Finance Share Read","OU=Finance,OU=Groups,DC=contoso,DC=com",1,""
"Finance Workstations Local Administrators","OU=Finance,OU=Groups,DC=contoso,DC=com",1,""
